/usr/lib/jvm/java-8-oracle/bin/java -cp /home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/conf:/home/bskeerthi7390/ycsb-0.4.0/conf:/home/bskeerthi7390/ycsb-0.4.0/lib/HdrHistogram-2.1.4.jar:/home/bskeerthi7390/ycsb-0.4.0/lib/jackson-mapper-asl-1.9.4.jar:/home/bskeerthi7390/ycsb-0.4.0/lib/jackson-core-asl-1.9.4.jar:/home/bskeerthi7390/ycsb-0.4.0/lib/core-0.4.0.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/servlet-api-2.5-20081211.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/snaptree-0.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jackson-mapper-asl-1.9.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/commons-lang-2.6.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/antlr-2.7.7.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jetty-6.1.22.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/httpclient-4.0.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/cassandra-all-1.2.9.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/slf4j-log4j12-1.7.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/lz4-1.1.0.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/compress-lzf-0.8.4.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/guava-13.0.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/high-scale-lib-1.1.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/cassandra-binding-0.4.0.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/metrics-core-2.0.3.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/cassandra-driver-core-1.0.3.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/json-simple-1.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/commons-logging-1.1.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jackson-core-asl-1.9.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/servlet-api-2.5.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jline-1.0.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/libthrift-0.7.0.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/netty-3.5.9.Final.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/commons-codec-1.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/httpcore-4.0.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/commons-cli-1.1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/antlr-runtime-3.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/concurrentlinkedhashmap-lru-1.3.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/slf4j-api-1.6.4.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/snakeyaml-1.6.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/avro-1.4.0-cassandra-1.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/antlr-3.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jetty-util-6.1.22.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/snappy-java-1.0.5.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/log4j-1.2.16.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jamm-0.2.5.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/stringtemplate-3.2.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/jbcrypt-0.3m.jar:/home/bskeerthi7390/ycsb-0.4.0/cassandra-binding/lib/cassandra-thrift-1.2.9.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.CassandraClient10 -P workloads/workload_test1200 -p hosts=10.240.0.2 -threads 1200 -p columnfamily=data -s -t
YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.CassandraClient10 -P workloads/workload_test1200 -p hosts=10.240.0.2 -threads 1200 -p columnfamily=data -s -t
Loading workload...
Starting test.
2015-11-15 00:31:06:275 0 sec: 0 operations; est completion in 0 seconds 
2015-11-15 00:31:16:205 10 sec: 52325 operations; 5232.5 current ops/sec; est completion in 38 minutes [READ: Count=27948, Max=5902335, Min=239, Avg=219532.35, 90=253311, 99=5677055, 99.9=5832703, 99.99=5881855] [UPDATE: Count=24515, Max=1160191, Min=212, Avg=6368.31, 90=14391, 99=81279, 99.9=323583, 99.99=1159167] 
2015-11-15 00:31:26:205 20 sec: 106958 operations; 5463.3 current ops/sec; est completion in 37 minutes [READ: Count=29820, Max=16875519, Min=255, Avg=449420.13, 90=315391, 99=11247615, 99.9=16752639, 99.99=16809983] [UPDATE: Count=24728, Max=242047, Min=205, Avg=7046.18, 90=21775, 99=79871, 99.9=140031, 99.99=211455] 
2015-11-15 00:31:36:205 30 sec: 162536 operations; 5557.8 current ops/sec; est completion in 36 minutes [READ: Count=30149, Max=6004735, Min=243, Avg=405070.55, 90=389119, 99=5742591, 99.9=5853183, 99.99=5984255] [UPDATE: Count=25473, Max=326655, Min=215, Avg=8459.51, 90=18687, 99=125823, 99.9=221439, 99.99=322303] 
2015-11-15 00:31:46:204 40 sec: 221858 operations; 5932.2 current ops/sec; est completion in 35 minutes [READ: Count=32124, Max=6193151, Min=275, Avg=320557.39, 90=217087, 99=5742591, 99.9=5959679, 99.99=6189055] [UPDATE: Count=27141, Max=231551, Min=209, Avg=8374.69, 90=20207, 99=111167, 99.9=167423, 99.99=203519] 
2015-11-15 00:31:56:205 50 sec: 280237 operations; 5837.9 current ops/sec; est completion in 34 minutes [READ: Count=31735, Max=6004735, Min=268, Avg=398685.63, 90=510207, 99=5668863, 99.9=5873663, 99.99=5955583] [UPDATE: Count=26628, Max=203647, Min=220, Avg=7991.51, 90=22031, 99=71103, 99.9=141311, 99.99=183807] 
2015-11-15 00:32:06:205 60 sec: 336499 operations; 5626.2 current ops/sec; est completion in 34 minutes [READ: Count=30732, Max=5787647, Min=260, Avg=351080.55, 90=200191, 99=5672959, 99.9=5738495, 99.99=5775359] [UPDATE: Count=25530, Max=326143, Min=206, Avg=5703.86, 90=15511, 99=47039, 99.9=127103, 99.99=319231] 
2015-11-15 00:32:16:205 70 sec: 391982 operations; 5548.3 current ops/sec; est completion in 34 minutes [READ: Count=30254, Max=11149311, Min=229, Avg=374314.82, 90=295679, 99=5636095, 99.9=11083775, 99.99=11116543] [UPDATE: Count=25217, Max=238335, Min=214, Avg=5079.18, 90=12263, 99=67967, 99.9=134015, 99.99=195967] 
2015-11-15 00:32:26:205 80 sec: 442140 operations; 5015.8 current ops/sec; est completion in 34 minutes [READ: Count=27242, Max=16842751, Min=217, Avg=441820.07, 90=354047, 99=11173887, 99.9=16678911, 99.99=16809983] [UPDATE: Count=22928, Max=283903, Min=209, Avg=6062.04, 90=13775, 99=97215, 99.9=181631, 99.99=269055] 
2015-11-15 00:32:36:205 90 sec: 499042 operations; 5690.2 current ops/sec; est completion in 34 minutes [READ: Count=30843, Max=11255807, Min=263, Avg=388673.03, 90=360447, 99=5791743, 99.9=11042815, 99.99=11239423] [UPDATE: Count=26073, Max=188671, Min=220, Avg=5943.3, 90=15711, 99=66303, 99.9=131327, 99.99=180607] 
2015-11-15 00:32:46:204 100 sec: 555147 operations; 5610.5 current ops/sec; est completion in 34 minutes [READ: Count=30827, Max=5996543, Min=234, Avg=399837.37, 90=173311, 99=5652479, 99.9=5890047, 99.99=5959679] [UPDATE: Count=25275, Max=372735, Min=208, Avg=5508.94, 90=12167, 99=59839, 99.9=257279, 99.99=351487] 
2015-11-15 00:32:56:204 110 sec: 613424 operations; 5827.7 current ops/sec; est completion in 34 minutes [READ: Count=31716, Max=6307839, Min=266, Avg=366396.56, 90=292863, 99=5881855, 99.9=6176767, 99.99=6283263] [UPDATE: Count=26529, Max=272127, Min=209, Avg=8558.8, 90=22623, 99=91903, 99.9=227967, 99.99=271103] 
2015-11-15 00:33:06:205 120 sec: 671681 operations; 5825.7 current ops/sec; est completion in 33 minutes [READ: Count=31653, Max=11386879, Min=240, Avg=343695.36, 90=237439, 99=5726207, 99.9=11313151, 99.99=11337727] [UPDATE: Count=26620, Max=356095, Min=212, Avg=7626.8, 90=19791, 99=82687, 99.9=143743, 99.99=240767] 
2015-11-15 00:33:16:204 130 sec: 731908 operations; 6022.7 current ops/sec; est completion in 33 minutes [READ: Count=32863, Max=5971967, Min=223, Avg=431515.3, 90=312063, 99=5742591, 99.9=5849087, 99.99=5959679] [UPDATE: Count=27375, Max=458495, Min=221, Avg=6789.34, 90=17375, 99=82367, 99.9=146943, 99.99=449023] 
